Country Name,Country Code,Indicator Name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bosnia and Herzegovina,BIH,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454
Botswana,BWA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713,30713
Brazil,BRA,Constitution Length (words),8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,8692,NA,NA,NA,NA,22371,22371,22371,14107,14021,14021,14056,14056,14233,14233,14233,13348,20470,20470,20470,20470,20470,20470,20470,20470,20470,20470,20470,20470,20470,20470,20470,21470,21470,20470,20470,20470,20470,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,25248,64583,64583,64583,64583,64583,64583,64583,64583,52050,64583,54669,54825,57030,58289,59721,61035,64209,64488,64488,64488,64488,64488,64488,64488,64488,64488,64488,64488,64488,64488,64488
Bulgaria,BGR,Constitution Length (words),6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,6078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,5412,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,9519,10851,10851,10851,10851,10851,10851,10851,10851,10851,10851,10851,10851,10955,10955,12014,12781,13641,13641,13641,13641,13641,13641,13641,13641,13641,13641,13641,13641
Burkina Faso,BFA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3825,3825,3825,3825,3825,3825,NA,NA,NA,NA,6917,6917,6917,6917,NA,NA,NA,7235,7235,7235,NA,NA,NA,NA,NA,NA,NA,NA,10511,10511,10511,8871,8871,8871,8871,8871,8871,8500,8500,8500,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,10030,10030,10030,10030,10030,10030,10030
Burundi,BDI,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4211,4211,4211,4211,NA,NA,NA,NA,NA,NA,NA,NA,3320,3320,NA,NA,NA,NA,NA,4452,4452,4452,4452,4452,4452,NA,NA,NA,NA,NA,9710,9710,9710,9710,8945,8945,9172,9172,9172,9172,9172,9172,17601,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
Cambodia,KHM,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4824,NA,NA,NA,NA,NA,NA,NA,NA,4824,4824,4824,4824,4824,4824,4824,4824,4824,4824,4824,4824,4824,4824,4824,4824,6681,6681,6681,6681,1554,1554,1554,1554,1554,6035,6035,6035,6035,6035,6035,6035,6035,6122,6122,6122,6122,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936,8936
Cameroon,CMR,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20013,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,4695,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,3857,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444,8444
Canada,CAN,Constitution Length (words),12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12222,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12254,12257,12257,12257,12257,12257,12257,12460,12460,12460,12631,12631,12694,12839,12839,12839,12839,12839,12839,12839,12839,12897,12897,12897,12897,12908,12950,12950,12950,12950,12950,12950,12950,12950,12950,13614,13615,13615,13615,13615,13615,13615,13615,19018,18413,18413,18413,19213,18431,18431,18431,18431,18431,18431,19039,19039,19039,19039,19382,19078,19574,19574,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565,19565
Central African Republic,CAF,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3959,3959,3959,3959,3959,3572,3572,3572,3572,3572,3572,3572,3572,3572,3572,3572,3572,3703,3703,3703,NA,NA,5200,5200,5200,5200,5200,NA,NA,NA,NA,NA,NA,NA,NA,8597,8597,8597,8597,8597,8597,8597,8597,8597,NA,10197,10197,10197,10197,10197,10197,10391,10391,10391,9767,9767,9767,14253,14253,14253
