Country Name,Country Code,Indicator Name,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hungary,HUN,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4935,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798,2231,2231,2231,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,15247,15247,15247,15247,15247,15247,15247,15247
Iceland,ISL,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3811,3811,NA,NA,NA,NA,NA,NA,NA,3811,NA,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089
India,IND,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73644,73644,73644,73632,73632,73674,74085,69880,69880,69880,69880,69959,70030,71421,72228,73112,73112,73378,73380,73380,73978,73978,74876,75160,76489,78101,79672,85385,84218,83810,83810,83810,83810,84152,84152,88030,89920,90318,90701,90893,90702,92127,93181,96341,96923,98959,99454,99454,99454,99454,99454,99465,99504,99592,146385,146385,146385,146385,146385,146385,146385,146385,146385,146385,146385,146385,146385,146385,146385,146385
Indonesia,IDN,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1757,1757,1757,1757,14522,8744,8744,8744,8744,8744,NA,NA,NA,NA,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,3947,5357,5357,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915,5915
Iraq,IRQ,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8506,8506,8506,8506,8506,8506,8506,8506,8506,8506,8506,8506,8506,8506,8506,545,545,545,545,545,545,3799,3799,3799,3799,3799,3799,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,8765,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550
Ireland,IRL,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10190,10190,10190,10378,10378,10538,10741,10746,11096,19513,19513,16790,16790,16772,14274,14917,14917,13342,13342,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14305,14417,14336,14336,14336,14336,14336,14336,14563,14563,14563,14563,14607,14622,14622,14622,14663,14663,14663,14663,14663,14796,14796,14796,14796,14933,15030,15989,15627,15627,15627,15655,15655,15731,15731,15731,15731,15731,15826,15826,15927,16007,16007,16007,16007,16007,16007,16007
Israel,ISR,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,831,831,831,831,831,831,831,831,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217,17217
Italy,ITA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708,11708
Jamaica,JAM,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048,38048
Japan,JPN,Constitution Length (words),3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998,4998
Jordan,JOR,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6113,6113,6113,6113,6113,6113,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,8756,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,9148,10239,10239,10239,10239,10239,10239,10239,10239
Kazakhstan,KAZ,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9250,9250,13123,13123,13123,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482
Kenya,KEN,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74971,74971,74971,74971,74971,74971,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,33051,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,35303,48818,48818,48818,48818,48818,48818,48818,48818,48818
Kiribati,KIR,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080,26080
Kuwait,KWT,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197,8197
Kyrgyzstan,KGZ,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9921,9921,9921,18061,18061,18061,18061,18061,18061,18061,18061,18061,18061,NA,14602,14602,14602,14327,14327,14327,14327,14327,14327,14327,14327,14327
Latvia,LVA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1192,NA,NA,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,3484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4977,4977,4977,4977,4977,4977,4977,4977,4977,4977,4977,4977,4977,5023,5031,5031,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917
Lebanon,LBN,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4679,6220,NA,6220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296
Lesotho,LSO,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42240,42240,42240,42240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9188,9188,9188,NA,NA,NA,NA,NA,NA,NA,41857,41857,41857,42864,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532,45532
Liberia,LBR,Constitution Length (words),4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,4483,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,NA,NA,NA,NA,NA,NA,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667
Libya,LBY,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,9022,1524,1524,1524,1524,1524,1524,1524,1524,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,3207,3207,3207,3207,3207,3207,3207,3207
Liechtenstein,LIE,Constitution Length (words),4953,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513
Lithuania,LTU,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4769,4769,4769,4769,4769,4769,3890,3890,3890,3890,3890,3890,3890,3890,3890,3890,7224,7224,7224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12028,12028,12028,12028,12028,12028,12028,12028,12028,12028,12041,12141,12205,12205,12214,12214,12214,12214,12214,12214,12214,12214,12214,12214,12214,12214,12214
Luxembourg,LUX,Constitution Length (words),5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601,5601
Madagascar,MDG,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8860,8999,8999,6634,6634,6634,6634,6634,6634,6634,6634,6718,6718,779,779,779,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,7495,9367,9367,9367,9367,9367,9367,12822,12822,12822,12822,12822,12822,12822,12822,12822,12822,12822,12822,15759,15759,15759,15759,15759,15759,15759,15759,15759
Malawi,MWI,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25015,25015,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,14527,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422,33422
Malaysia,MYS,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080,64080
Maldives,MDV,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864,13630,13630,13630,13630,13630,13630,13630,13630,13630,13630,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991,23991
Mali,MLI,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3646,3646,3646,3646,3646,3646,3646,3646,NA,NA,NA,NA,NA,NA,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503
Malta,MLT,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820,31820
Marshall Islands,MHL,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21149,21149,21149,21149,21149,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429,21429
Mauritania,MRT,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3137,3137,3137,3136,3117,3135,3135,3120,3124,3118,3118,3118,3118,3118,3118,3118,3118,3453,3453,NA,NA,NA,NA,NA,862,862,862,862,862,862,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997,6997
Mauritius,MUS,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,36333,37268,37268,37268,37320,37320,37320,37320,37320,37320,37320,37320
Mexico,MEX,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24863,24863,24863,24863,24894,24894,24850,24850,24850,24850,24904,25095,25156,25156,25583,25583,25918,27134,27562,27562,27693,27677,27677,27863,27863,28242,28248,28284,28402,28694,29077,29205,29210,29210,30139,30197,30270,30270,30270,30270,30270,30270,30270,31538,31549,31994,32222,32222,32294,32384,32691,32691,32676,32676,32828,32905,32905,32605,33062,33407,34385,34611,34521,34736,34801,35463,37308,37308,37426,37831,37668,37730,37730,38599,38599,37928,42145,44454,44508,45610,45795,45795,48056,48367,49718,49769,49805,49921,50345,50709,53488,57087,57087,57087,57087,57087,57087,57087,57087,57087,57087,57087
Moldova (Republic of),MDA,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11978,11978,11978,11994,11994,11992,11992,11992,11992,12325,12388,12357,12271,12271,12271,12818,12818,12818,12818,12818,12818,12818,12818,12818,12818,12818,12818,12818
Monaco,MCO,Constitution Length (words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2676,2676,2676,NA,NA,NA,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,2667,NA,NA,NA,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814
